Table,Year,MsCode,CatCode,HECCode,Estimate,RSE,LowerCIB,UpperCIB,Flag
T1,2016,M001,C000A,01.1,24.5,4.2,23.5,25.6,
T1,2016,M001,C000A,01.1.01,10.5,5,10,11.1,
T1,2016,M001,C000A,01.1.02,14,4.4,13.4,14.6,
T1,2016,M001,C000A,01.2,29.2,3.8,28.1,30.3,
